岗位,地点,薪资,工作经验,学历,公司,技能,区间最小薪资(K),城市地区,城市,地区
算法工程师,南京,30-40K·14薪,'1-3年', '大专',某互联网公司,"['Java', 'C++', 'Python', '算法设计', '深度学习算法', '视觉图像算法', 'PyTorch']",30,南京,南京,
图像识别,南京·江宁区·将军大道,11-22K,'1-3年', '本科',航视电子,"['深度学习', '图像处理', '图像识别']",11,南京江宁区,南京,江宁区
图像算法,南京,20-35K,'1-3年', '本科',某大型移动互联网公司,"['C/C++', 'Python', '计算机相关专业', '图像识别经验']",20,南京,南京,
屏显算法工程师,南京·建邺区·奥体,30-60K,'经验不限', '本科',OPPO,"['无明显侧重', 'MATLAB', 'OpenCV', 'TensorFlow/PyTorch', '计算机相关专业', '有国际期刊/会议论文发表', '英文读写能力良好']",30,南京建邺区,南京,建邺区
算法工程师,南京·浦口区·高新区,20-30K·13薪,'3-5年', '本科',亚派科技,"['Java', 'Python']",20,南京浦口区,南京,浦口区
图像算法高级工程师,南京·玄武区·红山,15-30K·14薪,'1-3年', '本科',邦士医疗,['ISP/3A算法经验'],15,南京玄武区,南京,玄武区
AI NLP算法专家18+,南京,35-60K·16薪,'经验不限', '本科',某大型知名消费电子公司,"['机器学习算法/工程化经验', 'NLP']",35,南京,南京,
算法工程师,南京,22-35K·13薪,'3-5年', '本科',某大型其他行业公司,"['业务导向', '风控/反欺诈', '智能营销/广告', 'Java', 'Python', 'R']",22,南京,南京,
定位算法,南京,25-40K·14薪,'3-5年', '本科',某大型知名汽车生产上市公司,"['业务导向', '智能驾驶', 'C/C++', '计算机相关专业', '机器学习算法/工程化经验', '深度学习经验']",25,南京,南京,
算法工程师,南京,20-35K,'经验不限', '本科',某大型模具公司,"['C/C++', 'ROS', 'slam']",20,南京,南京,
NLP算法工程师,南京·建邺区·万达金街,20-40K·15薪,'经验不限', '本科',荣耀南京,"['深度学习算法', '自然语言处理', '机器学习算法', '推荐算法', '人工智能', '语音算法']",20,南京建邺区,南京,建邺区
高级硬件工程师（图像/成像超声方向）,南京·雨花台区·铁心桥,18-25K,'1-3年', '本科',麦澜德,"['DSP', '硬件项目管理经验', '安防', '芯片/半导体/集成电路', 'FPGA', '硬件开发经验']",18,南京雨花台区,南京,雨花台区
算法工程师,南京·浦口区·沿江,8-13K·15薪,'1-3年', '本科',新环光电,"['算法设计', '数据分析', 'Python']",8,南京浦口区,南京,浦口区
