岗位,地点,薪资,工作经验,学历,公司,技能,区间最小薪资(K),城市地区,城市,地区
ai算法工程师,南京,30-35K,'3-5年', '硕士',某知名互联网公司,"['业务导向', '语音/图像识别', 'C/C++', 'OpenCV', 'CNN/RNN/LSTM', '计算机相关专业', '数学/统计相关专业', '深度学习经验']",30,南京,南京,
图像算法工程师（21届、22届）,南京·栖霞区·马群,15-18K·13薪,'1-3年', '硕士',江苏思行达,['语音/图像识别'],15,南京栖霞区,南京,栖霞区
高级图像算法工程师,南京·浦口区·江浦,20-28K,'3-5年', '本科',北京海研,"['C#', 'Pytorch', 'OCR识别经验', 'OpenCV', 'TensorwFlo', '计算机相关专业', '图像识别经验']",20,南京浦口区,南京,浦口区
图像识别,南京·建邺区·奥体,14-28K,'1-3年', '硕士',土星视界,"['视觉图像算法', 'Python', '图像处理', 'PyTorch', 'TensorFlow', 'CNN', '图像检测', 'Transformer']",14,南京建邺区,南京,建邺区
算法工程师,南京,20-40K,'3-5年', '本科',某大型重工公司,"['研究导向', '语音/图像识别', '智能驾驶', '云计算', 'Java', 'C/C++', '计算机相关专业', '机器学习算法/工程化经验', '深度学习经验', '算法工程师']",20,南京,南京,
算法负责人-NLP/CV/语音/自动驾驶/搜索-NJ,南京,75-100K·15薪,'经验不限', '本科',某大型知名移动互联网上市公司,"['研究导向', '智能驾驶', '搜索/推荐', '语音/图像识别']",75,南京,南京,
算法工程师,南京,15-25K,'经验不限', '本科',某大型仪器仪表公司,['OpenCV'],15,南京,南京,
NLP/机器学习 算法工程师,南京·江宁区·秣陵,16-30K,'3-5年', '硕士',柯基数据,"['深度学习算法', '视觉图像算法', '算法设计', '机器学习算法', 'Python', 'TensorFlow', 'PyTorch', '文本分类']",16,南京江宁区,南京,江宁区
ai算法工程师,南京,25-35K,'3-5年', '本科',某知名互联网公司,"['C/C++', 'OpenCV', 'Python']",25,南京,南京,
算法工程师,南京·江宁区·百家湖,20-40K·14薪,'在校/应届', '本科',南栖仙策,"['C++', 'Python', '分布式技术', '深度学习算法', '机器学习算法']",20,南京江宁区,南京,江宁区
ai算法工程师,南京·玄武区·玄武门,20-30K,'3-5年', '本科',标达电子,"['深度学习', '机器学习', '数据挖掘']",20,南京玄武区,南京,玄武区
Camera图像算法集成工程师（南京）,南京·栖霞区·仙林大学城,20-25K·14薪,'经验不限', '学历不限',瑞声科技,['算法集成'],20,南京栖霞区,南京,栖霞区
算法工程师,南京·江宁区·百家湖,20-40K·14薪,'3-5年', '硕士',卡尔曼航天应用,"['C++', '算法基础', '运动控制算法']",20,南京江宁区,南京,江宁区
算法工程师（图像处理）,南京·六合区·西门,15-28K·15薪,'1-3年', '本科',基蛋生物,"['C++', 'Python', '算法设计', '视觉图像算法']",15,南京六合区,南京,六合区
图像算法工程师（21届、22届）,南京·栖霞区·马群,15-18K·13薪,'1-3年', '硕士',江苏思行达,['语音/图像识别'],15,南京栖霞区,南京,栖霞区
高级算法工程师,南京·江宁区·百家湖,20-40K·13薪,'经验不限', '本科',领鹊,"['C++', '算法设计', '深度学习算法', '视觉图像算法', '运动控制算法', 'TensorFlow', 'Caffe']",20,南京江宁区,南京,江宁区
算法工程师,南京·江宁区·百家湖,20-30K,'3-5年', '硕士',深兰科技,"['算法设计', 'C++', 'Python', '数据分析', '数据开发', '嵌入式技术', '搜索算法', '推荐算法']",20,南京江宁区,南京,江宁区
视觉定位算法工程师,南京·江宁区·胜太路,20-35K·15薪,'1-3年', '硕士',德赛西威,"['C/C++', 'SLAM', '定位算法', 'ROS系统']",20,南京江宁区,南京,江宁区
HPC算法工程师,南京·江宁区·大学城,20-30K,'3-5年', '本科',小视科技,"['深度学习', '目标检测', 'AI芯片算法移植']",20,南京江宁区,南京,江宁区
AI算法专家,南京,20-35K,'1-3年', '硕士',某知名通信公司,"['业务导向', '语音/图像识别', '深度学习经验', '机器学习算法/工程化经验', '图像识别', 'OCR', '图像质量']",20,南京,南京,
算法工程师,南京·雨花台区·软件大道,18-35K·14薪,'在校/应届', '本科',华为,"['研究导向', '搜索/推荐', '智能营销/广告', '语音/图像识别', 'Python', 'TensorFlow/PyTorch', 'CNN/RNN/LSTM']",18,南京雨花台区,南京,雨花台区
图像算法工程师,南京·雨花台区·铁心桥,20-30K·16薪,'3-5年', '本科',思源电气,"['视觉图像算法', '深度学习算法', '算法设计', '机器学习算法', '图像处理']",20,南京雨花台区,南京,雨花台区
图像算法专家,南京·玄武区·徐庄软件园,30-40K·16薪,'5-10年', '本科',同程旅行,"['TensorFlow/PyTorch', '人脸识别经验']",30,南京玄武区,南京,玄武区
图像算法工程师,南京·江宁区·胜太路,25-35K,'经验不限', '本科',经纬恒润,"['视觉图像算法', '图像处理', '算法设计', 'C语言', 'C++', '图像检测', '图像跟踪']",25,南京江宁区,南京,江宁区
图像算法工程师,南京,20-40K,'经验不限', '硕士',某大型智能硬件上市公司,"['深度学习经验', '机器学习算法/工程化经验']",20,南京,南京,
ai算法工程师,南京,20-40K·14薪,'3-5年', '硕士',某知名互联网公司,"['语音/图像识别', 'Python', 'OpenCV', 'TensorFlow/PyTorch']",20,南京,南京,
图像算法工程师,南京·雨花台区·铁心桥,20-40K,'5-10年', '硕士',佗道医疗,"['语音/图像识别', 'C/C++']",20,南京雨花台区,南京,雨花台区
图像算法工程师,南京·雨花台区·花生唐,20-35K·14薪,'3-5年', '硕士',智库智能,"['Python', 'C/C++', 'OpenCV', '图像识别经验']",20,南京雨花台区,南京,雨花台区
算法工程岗,南京,30-50K·20薪,'3-5年', '硕士',某国内知名互联网金融公司,"['R', 'C/C++', 'Python', '计算机相关专业', '数学/统计相关专业', '机器学习算法/工程化经验']",30,南京,南京,
图像算法工程师,南京,20-35K·15薪,'1-3年', '硕士',某大型器械公司,"['C++', '算法设计', '视觉图像算法']",20,南京,南京,
算法工程师,南京·秦淮区·苜蓿园,15-20K·14薪,'经验不限', '硕士',杰瑞电子,"['语音/图像识别', 'Python', 'Java']",15,南京秦淮区,南京,秦淮区
算法工程师,南京·江宁区·胜太路,20-30K·13薪,'3-5年', '硕士',德赛西威,"['研究导向', '智能驾驶', 'C/C++', 'MATLAB', 'OpenCV', '计算机相关专业', '数学/统计相关专业', 'SLAM', '视觉算法']",20,南京江宁区,南京,江宁区
视觉算法工程师,南京·栖霞区·尧化,20-30K·14薪,'3-5年', '硕士',创新奇智,"['C/C++', '视觉算法', 'Python']",20,南京栖霞区,南京,栖霞区
算法工程师,南京·江宁区·秣陵,18-25K·14薪,'1-3年', '本科',南京前知科技,"['生物医疗', 'C/C++', '计算机相关专业', '数学/统计相关专业', '图形', 'OpenGL']",18,南京江宁区,南京,江宁区
视觉算法工程师,南京·江宁区·大学城,20-35K·14薪,'经验不限', '硕士',筑领科技,"['C/C++', 'OpenCV', '图像识别经验', '点云处理', '三维重建']",20,南京江宁区,南京,江宁区
图像算法工程师,南京·江宁区·百家湖,20-30K,'3-5年', '本科',南京瑞德,['图形图像处理'],20,南京江宁区,南京,江宁区
slam算法工程师,南京,30-50K,'1-3年', '硕士',安徽集萃智造,"['算法设计', '视觉图像算法', '自然语言处理', '运动控制算法', 'C++', 'Python', '数据采集']",30,南京,南京,
算法开发工程师,南京·栖霞区·马群,25-45K·13薪,'3-5年', '本科',图灵人工智能研究院,"['Python', 'TensorFlow/PyTorch']",25,南京栖霞区,南京,栖霞区
NLP算法工程师,南京,18-35K·14薪,'经验不限', '硕士',万得,['自然语言处理'],18,南京,南京,
图像算法工程师,南京·建邺区·西善桥,20-30K·14薪,'3-5年', '硕士',南京小米,"['C++', 'Python', '算法设计', '深度学习算法', '机器学习算法', '视觉图像算法', '人脸识别', 'TensorFlow']",20,南京建邺区,南京,建邺区
算法工程师,南京·雨花台区·铁心桥,20-25K·13薪,'3-5年', '大专',润和软件,"['Python', 'TensorFlow/PyTorch']",20,南京雨花台区,南京,雨花台区
ai算法工程师,南京·鼓楼区·汉中路,20-30K,'3-5年', '硕士',博晟宇,"['TensorFlow/PyTorch', '深度学习经验', '机器学习算法/工程化经验']",20,南京鼓楼区,南京,鼓楼区
图像算法工程师,南京·建邺区·奥体,20-30K,'3-5年', '硕士',同方威视江苏,"['深度学习算法', '视觉图像算法', '算法设计', '机器学习算法', 'TensorFlow', 'PyTorch', 'Python', '人工智能']",20,南京建邺区,南京,建邺区
图像识别算法工程师,南京·建邺区·奥体,13-26K·13薪,'1年以内', '本科',泓图人工智能研究院,"['视觉图像算法', 'C++', 'Python', '图像处理', '图像分析', '图像跟踪', '图像检测', '算法设计']",13,南京建邺区,南京,建邺区
AI算法工程师,南京,20-25K·14薪,'3-5年', '硕士',某知名计算机软件公司,"['C/C++', 'OpenCV', 'CNN/RNN', '图像识别经验']",20,南京,南京,
图像处理算法工程师,南京·雨花台区·铁心桥,12-24K,'1-3年', '硕士',高视科技,"['视觉图像算法', '算法设计', 'C++', 'TensorFlow', 'PyTorch', 'CNN', 'opencv', 'halcon']",12,南京雨花台区,南京,雨花台区
算法工程师（图像）,南京,15-25K,'3-5年', '硕士',联著,"['算法设计', '深度学习算法', '视觉图像算法', '软件工程师', 'OCR']",15,南京,南京,
算法工程师,南京·浦口区·江浦,20-25K,'经验不限', '本科',应泰智能研究院,['算法设计'],20,南京浦口区,南京,浦口区
算法工程师（CV，NLP，机器，推荐搜索）,南京·雨花台区·安德门,27-50K,'3-5年', '本科',华为,"['深度学习算法', '机器学习算法', '视觉图像算法', '自然语言处理', '搜索算法', 'C++', 'Python']",27,南京雨花台区,南京,雨花台区
图像算法工程师,南京,70-100K·15薪,'经验不限', '本科',某大型电子公司,"['C++', 'Python', '深度学习算法', '机器学习算法', '视觉图像算法', '运动控制算法', '图像处理', 'SLAM']",70,南京,南京,
资深图像算法工程师,南京·栖霞区·摄山,30-50K·15薪,'3-5年', '硕士',出门问问,"['研究导向', '语音/图像识别', 'C/C++', 'OpenCV', 'TensorFlow/PyTorch', '深度学习经验', '图像生成，avatar']",30,南京栖霞区,南京,栖霞区
图像算法工程师,南京·浦口区·南京信息工程大学,15-24K,'1-3年', '本科',巨鲨医疗,"['算法设计', '视觉图像算法', 'Python']",15,南京浦口区,南京,浦口区
图像算法工程师,南京,25-40K,'3-5年', '硕士',某知名电力上市公司,"['Python', '分布式技术', '深度学习算法', '机器学习算法', '视觉图像算法', 'SQL', 'C++', '自然语言处理']",25,南京,南京,
图像算法,南京·玄武区·徐庄软件园,15-30K,'1-3年', '硕士',云思创智,"['机器学习', '深度学习', '算法']",15,南京玄武区,南京,玄武区
算法工程师,南京·浦口区·沿江,10-28K·16薪,'1-3年', '本科',南京霍普斯,"['算法设计', '深度学习算法', '机器学习算法', 'C++', 'C#']",10,南京浦口区,南京,浦口区
图像算法工程师,南京,25-50K,'1-3年', '硕士',某通信公司,"['研究导向', '语音/图像识别', 'OpenCV', 'Python', 'C/C++', '机器学习算法/工程化经验', '深度学习经验']",25,南京,南京,
算法工程师,南京·雨花台区·南京南站,30-35K·14薪,'3-5年', '硕士',江苏国强兴晟能源科技,"['研究导向', 'C/C++', '数学/统计相关专业', '机器学习算法/工程化经验', '深度学习经验']",30,南京雨花台区,南京,雨花台区
算法工程师,南京·雨花台区·宁南,18-25K·14薪,'5-10年', '硕士',中国系统,"['深度学习算法', '视觉图像算法', 'C++', 'Python', 'PyTorch']",18,南京雨花台区,南京,雨花台区
图像算法工程师,南京·秦淮区·洪家园,15-30K,'3-5年', '硕士',江苏微云,"['C++', '视觉图像算法', '深度学习算法', 'OpenCV', 'HALCON']",15,南京秦淮区,南京,秦淮区
算法工程师,南京·江宁区·开发区,20-40K,'1-3年', '硕士',南京智欧智能,"['计算机相关专业', '机器学习算法/工程化经验', '深度学习经验']",20,南京江宁区,南京,江宁区
高级／资深算法工程师,南京·栖霞区·仙林大学城,40-60K·14薪,'5-10年', '硕士',智谱科技,"['C++', 'Python', '算法设计', '深度学习算法', '视觉图像算法']",40,南京栖霞区,南京,栖霞区
算法工程师,南京·江宁区·东善桥,20-30K,'1-3年', '硕士',拓攻,"['算法设计', 'C++']",20,南京江宁区,南京,江宁区
算法实现工程师,南京·江宁区·开发区,18-30K·14薪,'3-5年', '硕士',南京慧尔视,"['C++', '算法设计', 'C语言', '机器学习算法', '嵌入式技术', 'Ros']",18,南京江宁区,南京,江宁区
算法工程师,南京·浦口区·沿江,20-25K,'3-5年', '本科',赛诺贝斯,"['业务导向', '云计算', 'Python', 'R', 'Hadoop/Hive/Spark', '机器学习算法/工程化经验', '数学/统计相关专业', '计算机相关专业']",20,南京浦口区,南京,浦口区
图像算法工程师（机器人）,南京,20-35K·15薪,'5-10年', '硕士',某大型智能硬件公司,"['视觉图像算法', '算法设计', 'C++', '图像处理', 'OpenCV', '机器人']",20,南京,南京,
机器视觉算法工程师,南京·江宁区·东山,15-30K·14薪,'3-5年', '硕士',帝感,"['深度学习算法', '视觉图像算法', 'Python', 'C++', 'TensorFlow', 'Caffe']",15,南京江宁区,南京,江宁区
图像算法工程师,南京·雨花台区·铁心桥,15-25K,'1-3年', '硕士',昆岳互联,"['C++', 'Python', '深度学习算法', '视觉图像算法', '图像处理', 'OpenCV', '图像检测', 'TensorFlow']",15,南京雨花台区,南京,雨花台区
图像测试工程师,南京·雨花台区·宁南,11-18K,'1-3年', '本科',虹亚,"['系统测试', '软件测试', 'camera', '图像']",11,南京雨花台区,南京,雨花台区
算法工程师,南京·江宁区·百家湖,25-40K,'3-5年', '硕士',南京力孔,"['C/C++', 'TensorFlow/PyTorch', '机器学习算法/工程化经验', '无明显侧重', '智能驾驶']",25,南京江宁区,南京,江宁区
算法工程师,南京·建邺区·奥体,23-35K,'1-3年', '本科',CIC灼识咨询,"['Java', 'SQL', '搜索引擎技术', '自然语言处理', '深度学习算法', '机器学习算法', '推荐算法', '数据分析']",23,南京建邺区,南京,建邺区
算法工程师,南京·雨花台区·软件大道,15-30K·14薪,'经验不限', '本科',华为云计算,"['Hadoop/Hive/Spark', 'Python', 'NLP', '机器学习', '深度学习']",15,南京雨花台区,南京,雨花台区
算法工程师,南京·浦口区·高新区,15-30K·13薪,'1-3年', '本科',海平面,"['机器学习算法', 'Shell', '数据挖掘', '数据分析', 'Spark', 'Python', 'SQL', '人工智能']",15,南京浦口区,南京,浦口区
算法工程师,南京·建邺区·奥体,13-25K·13薪,'1-3年', '本科',西安识庐慧图,"['业务导向', '风控/反欺诈', 'Python', 'TensorFlow/PyTorch', 'CNN/RNN/LSTM', '机器学习算法/工程化经验', '深度学习经验', '计算机相关专业', '图神经网络']",13,南京建邺区,南京,建邺区
图像高级工程师,南京·建邺区·奥体,30-50K,'5-10年', '硕士',亿猫科技,"['C++', 'Python', '算法设计', '深度学习算法', '视觉图像算法', 'TensorFlow', 'PyTorch', 'Caffe']",30,南京建邺区,南京,建邺区
算法工程师,南京·浦口区·高新区,18-22K,'1-3年', '硕士',知承企业管理,"['云计算', 'Python', 'C/C++', 'Java', '计算机相关专业', '深度学习经验', '机器学习算法/工程化经验']",18,南京浦口区,南京,浦口区
DSP算法软件工程师,南京·浦口区·沿江,21-40K·14薪,'1-3年', '硕士',南京中感微,['C'],21,南京浦口区,南京,浦口区
图形图像测试设计专家,南京,80-90K,'5-10年', '硕士',某大型知名消费电子公司,"['Java', '计算机相关专业', '开发经验', '手游测试经验', 'Android/Linux', 'GPU', '图形']",80,南京,南京,
图像识别,南京·建邺区·西善桥,25-40K,'3-5年', '硕士',小米,"['TensorFlow/PyTorch', 'OpenCV', '计算机相关专业', '图像识别经验']",25,南京建邺区,南京,建邺区
nlp算法工程师,南京·浦口区·高新区,15-25K,'3-5年', '本科',诚迈电力信息,"['Python', 'TensorFlow', 'PyTorch']",15,南京浦口区,南京,浦口区
图像算法开发工程师,南京,15-30K,'1-3年', '硕士',黎创智能装备,"['C++', '视觉图像算法', '图像处理', '图像分析']",15,南京,南京,
算法工程师,南京·栖霞区·尧化,35-40K·14薪,'1-3年', '硕士',深赛科技,"['业务导向', '语音/图像识别', 'TensorFlow/PyTorch', '深度学习经验']",35,南京栖霞区,南京,栖霞区
图像算法工程师,南京,15-30K·14薪,'3-5年', '本科',某大型医疗设备公司,"['C++', 'Python', '深度学习算法', '机器学习算法', '视觉图像算法', '图像处理']",15,南京,南京,
算法工程师,南京·江宁区·开发区,13-16K·14薪,'3-5年', '本科',高知特智能技术,"['Python', '机器学习算法/工程化经验']",13,南京江宁区,南京,江宁区
算法工程师,南京·雨花台区·软件大道,18-30K·13薪,'经验不限', '本科',擎盾集团,"['自然语言处理', '人工智能', '大数据', '深度学习算法', '机器学习算法']",18,南京雨花台区,南京,雨花台区
图像算法工程师,南京,20-40K,'1-3年', '硕士',某通信公司,"['C/C++', 'Python', '图像识别经验', '人脸识别经验', '遥感影像相关经验']",20,南京,南京,
图像算法工程师,南京·雨花台区·铁心桥,18-35K,'3-5年', '本科',南京图思灵,"['C/C++', 'Python', 'TensorFlow/PyTorch', '计算机相关专业', '数学/统计相关专业', '图像识别经验', '算法设计', '视觉图像算法', '深度学习算法', 'Python']",18,南京雨花台区,南京,雨花台区
知识图谱算法工程师,南京·雨花台区·铁心桥,20-30K·13薪,'3-5年', '硕士',科大智能,"['Python', '知识图谱', '自然语言', '深度学习']",20,南京雨花台区,南京,雨花台区
高级图像算法工程师,南京·玄武区·红山,18-35K·14薪,'经验不限', '本科',无右微创,"['ISP', '去噪', '3A算法', '图像增强', '3A']",18,南京玄武区,南京,玄武区
图像算法工程师,南京,20-40K·14薪,'3-5年', '硕士',某大型AIot高科技公司,"['C++', '视觉图像算法', '嵌入式技术', '深度学习算法', '深度学习经验', 'C/C++', 'PyTorch', 'TensorFlow/PyTorch', 'Caffe', '语音/图像识别', '无明显侧重', 'Python', 'TensorFlow']",20,南京,南京,
图像算法工程师,南京,18-35K·14薪,'1-3年', '本科',某大型计算机软件公司,"['研究导向', 'Python', 'C/C++', 'MATLAB', '图像处理']",18,南京,南京,
AI算法工程师,南京·雨花台区·楚翘城,15-24K,'3-5年', '硕士',百音高科,"['分布式技术', '算法设计', '自然语言处理', '深度学习算法', '机器学习算法', 'TensorFlow', 'Caffe', 'MXNet']",15,南京雨花台区,南京,雨花台区
高级算法工程师,南京,16-25K·14薪,'3-5年', '本科',朗新科技,"['业务导向', '搜索/推荐', 'Python', '深度学习经验', '机器学习算法/工程化经验', '计算机相关专业']",16,南京,南京,
人工智能算法工程师,南京·雨花台区·宁南,15-25K,'1-3年', '硕士',中兴飞流,"['C/C++', 'Java', 'Python', '计算机相关专业', '机器学习算法/工程化经验', '深度学习经验', '语音/图像识别']",15,南京雨花台区,南京,雨花台区
算法工程师,南京·浦口区·高新区,28-35K,'3-5年', '本科',正声电力,"['业务导向', '语音/图像识别', 'Python', 'TensorFlow/PyTorch', '数学/统计相关专业', '机器学习算法/工程化经验']",28,南京浦口区,南京,浦口区
AI  NLP算法专家,南京,50-80K,'5-10年', '硕士',某知名企业,"['算法设计', '深度学习算法', '机器学习算法', '情感分析', '文本分类', '实体识别', '机器翻译', '知识图谱']",50,南京,南京,
图像信号处理工程师,南京,13-26K,'1-3年', '本科',埃米科技,"['C/C++', 'OpenCV']",13,南京,南京,
图像算法工程师,南京,20-40K,'3-5年', '硕士',某通信公司,"['C/C++', 'Python', 'TensorFlow/PyTorch', 'Darkne', '机器学习', '深度学习']",20,南京,南京,
图像高级工程师,南京·建邺区·奥体,30-50K,'5-10年', '硕士',亿猫科技,"['C++', 'Python', '算法设计', '深度学习算法', '视觉图像算法', 'TensorFlow', 'PyTorch', 'Caffe']",30,南京建邺区,南京,建邺区
知识图谱算法工程师,南京·雨花台区·铁心桥,20-30K·13薪,'3-5年', '硕士',科大智能,"['Python', '知识图谱', '自然语言', '深度学习']",20,南京雨花台区,南京,雨花台区
算法工程师,南京·雨花台区·铁心桥,18-22K·14薪,'1-3年', '本科',百家云,"['深度学习算法', '视觉图像算法', '算法设计', '机器学习算法', 'C++', 'Python', 'TensorFlow', 'PyTorch']",18,南京雨花台区,南京,雨花台区
算法工程师,南京·雨花台区·铁心桥,15-25K·13薪,'1-3年', '硕士',凯奥思数据,"['Python', 'TensorFlow/PyTorch', '数学/统计相关专业', '计算机相关专业']",15,南京雨花台区,南京,雨花台区
算法工程师（CV，NLP，机器，推荐搜索）,南京·雨花台区·安德门,27-50K,'3-5年', '本科',华为,"['深度学习算法', '机器学习算法', '视觉图像算法', '自然语言处理', '搜索算法', 'C++', 'Python']",27,南京雨花台区,南京,雨花台区
自然语言处理算法工程师,南京·鼓楼区·华侨路,15-21K·14薪,'3-5年', '硕士',江苏鸿信,"['Python', 'C/C++', 'PyTorch', '自然语言处理项目经验', '深度学习']",15,南京鼓楼区,南京,鼓楼区
算法工程师,南京·栖霞区·尧化,35-40K·14薪,'1-3年', '硕士',深赛科技,"['业务导向', '语音/图像识别', 'TensorFlow/PyTorch', '深度学习经验']",35,南京栖霞区,南京,栖霞区
算法工程师,南京·江宁区·南京南站,14-28K,'1-3年', '本科',家康众智,"['Python', 'C/C++', '数学/统计相关专业', '计算机相关专业', '机器学习算法/工程化经验']",14,南京江宁区,南京,江宁区
高级图像算法工程师,南京·建邺区·奥体,12-24K,'3-5年', '本科',镁客网,"['C++', '视觉图像算法', '图像检测', 'OpenCV', 'TensorFlow']",12,南京建邺区,南京,建邺区
图像算法工程师,南京,18-35K·14薪,'3-5年', '本科',某大型移动互联网公司,"['图像算法', 'C++']",18,南京,南京,
图像算法工程师,南京·秦淮区·洪家园,15-25K,'3-5年', '本科',宏申,"['C#', 'C++', 'OpenCV', '算法设计', '视觉图像算法', '语音/图像识别', '业务导向']",15,南京秦淮区,南京,秦淮区
算法工程师,南京·雨花台区·铁心桥,15-25K·13薪,'3-5年', '硕士',中新赛克,"['Python', '网络安全', 'AI']",15,南京雨花台区,南京,雨花台区
图像算法工程师,南京,18-30K,'3-5年', '硕士',翰林正川,"['数学/统计相关专业', '计算机相关专业', '图像识别经验', '图像处理', '视频处理', '机器学习']",18,南京,南京,
算法工程师,南京·江宁区·东山,10-20K,'经验不限', '硕士',雅泰歌思,"['大数据算法', 'matlab']",10,南京江宁区,南京,江宁区
图像算法总监,南京·江宁区·东山,20-30K·13薪,'5-10年', '本科',南京创智出彩,"['C/C++', 'OpenCV', 'TensorFlow/PyTorch']",20,南京江宁区,南京,江宁区
AI/图像处理算法工程师,南京·江宁区·东善桥,15-30K,'1-3年', '本科',苏京机器人,"['深度学习算法', '视觉图像算法', 'C++', '人工智能', '机器人']",15,南京江宁区,南京,江宁区
图像算法工程师,南京,15-30K·15薪,'3-5年', '本科',某大型医疗设备公司,"['研究导向', '语音/图像识别', '生物医疗', 'C/C++', '数学/统计相关专业']",15,南京,南京,
图像 算法工程师,南京,20-30K·16薪,'3-5年', '硕士',某网络设备公司,"['业务导向', '语音/图像识别', '计算机相关专业', '机器学习算法/工程化经验', '英文读写能力良好']",20,南京,南京,
图像算法工程师,南京·雨花台区·铁心桥,15-30K,'1-3年', '硕士',华群光电,"['视觉图像算法', '深度学习算法', '自然语言处理', 'Python', 'TensorFlow']",15,南京雨花台区,南京,雨花台区
图像工程师,南京,30-60K,'经验不限', '硕士',某互联网公司,"['红外', '图像算法', '探测器']",30,南京,南京,
算法工程师,南京·玄武区·孝陵卫,12-20K·13薪,'1-3年', '本科',陆加壹智能,"['C/C++', 'Python', '计算机相关专业', '深度学习经验', '机器学习算法/工程化经验']",12,南京玄武区,南京,玄武区
图像算法高级工程师,南京·雨花台区·板桥,15-20K·13薪,'3-5年', '本科',南京卓胜,['自动化测试经验'],15,南京雨花台区,南京,雨花台区
医学图像处理工程师,南京·雨花台区·板桥,20-30K·13薪,'5-10年', '本科',致远慧图,"['C/C++', 'OpenCV', 'MATLAB', '数学/统计相关专业', '图像识别经验']",20,南京雨花台区,南京,雨花台区
算法工程师,南京·玄武区·总统府,12-20K·13薪,'经验不限', '硕士',先趋医疗,"['研究导向', '语音/图像识别', '云计算', 'Python', 'C/C++', '计算机相关专业', '机器学习算法/工程化经验', '深度学习经验', '嵌入式软件']",12,南京玄武区,南京,玄武区
CV算法专家,南京·雨花台区·铁心桥,40-70K·15薪,'5-10年', '硕士',比特微,"['图像算法', '视觉算法', '深度学习']",40,南京雨花台区,南京,雨花台区
图像算法工程师,南京·栖霞区·新港开发区,20-25K·14薪,'经验不限', '本科',的卢技术,"['算法设计', '深度学习算法', '机器学习算法', 'C++', 'Python', 'TensorFlow', 'PyTorch', 'Caffe']",20,南京栖霞区,南京,栖霞区
算法工程师,南京·秦淮区·瑞金路,20-30K,'3-5年', '硕士',南京未来物联,"['机器学习算法', '视觉图像算法', 'TensorFlow', 'PyTorch', 'C语言', 'Python']",20,南京秦淮区,南京,秦淮区
图像算法工程师,南京·雨花台区·小行,20-40K,'1-3年', '本科',vivo,['视觉图像算法'],20,南京雨花台区,南京,雨花台区
算法工程师,南京,22-40K·14薪,'3-5年', '本科',某大型电子公司,"['语音/图像识别', 'TensorFlow/PyTorch', '编程语言', '机器学习、深度学习']",22,南京,南京,
算法工程师,南京,20-40K,'3-5年', '本科',某大型机械设备公司,"['业务导向', '语音/图像识别', '智能驾驶', 'C/C++', 'MATLAB', 'TensorFlow/PyTorch', '计算机相关专业', '深度学习经验', '机器学习算法/工程化经验', '三维重现 机器人', '路劲规划 控制 高精度', '点云 单双目 3D']",20,南京,南京,
视频图像效果优化算法,南京,28-55K·18薪,'经验不限', '本科',某知名企业,"['视频', '视效算法', '视频图像处理', 'AI视频']",28,南京,南京,
图像处理算法工程师,南京·浦口区·江浦,20-40K,'经验不限', '本科',芯视界,"['深度学习算法', '视觉图像算法', '图像处理', 'OpenCV']",20,南京浦口区,南京,浦口区
图像算法助理工程师,南京·江宁区·百家湖,10-15K·14薪,'经验不限', '硕士',南京光衡科技有限公司,"['视觉图像算法', 'C++', 'C#', '图像处理', '图像检测', '图像分析', 'OpenCV', 'HALCON']",10,南京江宁区,南京,江宁区
图像处理算法工程师,南京,15-20K·13薪,'1-3年', '硕士',国科软件,"['视觉图像算法', '深度学习算法', '算法设计', '机器学习算法', 'C++', 'Python', 'CNN', '图像处理']",15,南京,南京,
图像算法工程师,南京·浦口区·南京信息工程大学,20-35K,'1-3年', '本科',沃福曼医疗,"['C++', '算法设计', '深度学习算法', '机器学习算法', '视觉图像算法']",20,南京浦口区,南京,浦口区
图像算法工程师,南京,18-30K·13薪,'1-3年', '硕士',深瑞汇阳,"['C++', 'Python', '算法设计', '深度学习算法', '机器学习算法', '视觉图像算法', '图像处理', '图像检测']",18,南京,南京,
算法工程师,南京·雨花台区·板桥,15-30K,'1-3年', '本科',南京铖联,"['算法设计', 'C++', 'Python', 'C#', 'C语言', 'vtk']",15,南京雨花台区,南京,雨花台区
图像算法工程师,南京,20-40K,'5-10年', '硕士',某通信公司,"['C/C++', 'TensorFlow/PyTorch', 'OpenCV', '图像识别经验', 'OCR识别经验']",20,南京,南京,
算法工程师,南京·雨花台区·宁南,15-25K,'3-5年', '本科',创数,"['深度学习算法', '算法设计', '机器学习算法', '数据挖掘', '量化']",15,南京雨花台区,南京,雨花台区
自然语言算法专家,南京·浦口区·江浦,25-40K·13薪,'3-5年', '硕士',博泰车联网,"['自然语言处理', '深度学习', '机器学习']",25,南京浦口区,南京,浦口区
算法工程师,南京·浦口区·江浦,25-40K·13薪,'5-10年', '本科',江苏恒通国际货运...,['算法'],25,南京浦口区,南京,浦口区
算法实现工程师,南京·江宁区·开发区,18-30K·14薪,'3-5年', '硕士',南京慧尔视,"['C++', '算法设计', 'C语言', '机器学习算法', '嵌入式技术', 'Ros']",18,南京江宁区,南京,江宁区
